reaction number,reaction,reaction rate,description,simplified_reaction,simplified_reaction_rate,equations,simplified_equations
43,Liv_Spln_GI.EffT_Spleen_f_Vasc -> null,EffT_Turnover*Liv_Spln_GI.EffT_Spleen_f_Vasc,Turnover of free Effector T cells in the Spleen vasculature,gamma.DT -> null,EffT_Turnover*gamma.DT,-Liv_Spln_GI.EffT_Spleen_f_Vasc  =  EffT_Turnover*Liv_Spln_GI.EffT_Spleen_f_Vasc,-gamma.DT  =  EffT_Turnover*gamma.DT
44,Liv_Spln_GI.EffT_SpleenEx -> Lymph_Node.EffT_LN_ExRec,LC_Spleen*Delta_Spleen*Liv_Spln_GI.EffT_SpleenEx/Vext_Spleen,Trafficking of free Effector T cells from Spleen to lymph node extravascular space,gamma.DQ -> delta.DI,LC_Spleen*Delta_Spleen*gamma.DQ/Vext_Spleen,-Liv_Spln_GI.EffT_SpleenEx  =  Lymph_Node.EffT_LN_ExRec = LC_Spleen*Delta_Spleen*Liv_Spln_GI.EffT_SpleenEx/Vext_Spleen,-gamma.DQ  =  delta.DI = LC_Spleen*Delta_Spleen*gamma.DQ/Vext_Spleen
45,Liv_Spln_GI.EffT_SpleenEx -> null,EffT_Turnover*Liv_Spln_GI.EffT_SpleenEx,Turnover of Effector T cells in the Spleen extravascular space,gamma.DQ -> null,EffT_Turnover*gamma.DQ,-Liv_Spln_GI.EffT_SpleenEx  =  EffT_Turnover*Liv_Spln_GI.EffT_SpleenEx,-gamma.DQ  =  EffT_Turnover*gamma.DQ
46,Liv_Spln_GI.Liver_Free_Sites + Liv_Spln_GI.EffT_Liver_f_Vasc -> Liv_Spln_GI.EffT_Liver_b_Vasc + Liv_Spln_GI.Liver_Free_Sites,kf_Liver*Liver_Free_Sites*[Liv_Spln_GI].EffT_Liver_f_Vasc/Vv_Liver,Binding or free Effector T cells to the Liver vasculature,gamma.EE + gamma.DN -> gamma.DM + gamma.EE,kf_Liver*EE*gamma.DN/Vv_Liver,-Liv_Spln_GI.Liver_Free_Sites  = - Liv_Spln_GI.EffT_Liver_f_Vasc  =  Liv_Spln_GI.EffT_Liver_b_Vasc  =  Liv_Spln_GI.Liver_Free_Sites = kf_Liver*Liver_Free_Sites*[Liv_Spln_GI].EffT_Liver_f_Vasc/Vv_Liver,-gamma.EE  = - gamma.DN  =  gamma.DM  =  gamma.EE = kf_Liver*EE*gamma.DN/Vv_Liver
47,Lungs.EffT_AR_LungsVasc -> Lungs.EffT_LungsEx,J_Lungs*Lungs.EffT_AR_LungsVasc,Extravasation of arrested Effector T cells from the Lungs vasculature,beta.DF -> beta.DO,J_Lungs*beta.DF,-Lungs.EffT_AR_LungsVasc  =  Lungs.EffT_LungsEx = J_Lungs*Lungs.EffT_AR_LungsVasc,-beta.DF  =  beta.DO = J_Lungs*beta.DF
48,Lungs.EffT_AR_LungsVasc -> null,EffT_Turnover*Lungs.EffT_AR_LungsVasc,Turnover of arrested Effector T cells in the Lungs vasculature,beta.DF -> null,EffT_Turnover*beta.DF,-Lungs.EffT_AR_LungsVasc  =  EffT_Turnover*Lungs.EffT_AR_LungsVasc,-beta.DF  =  EffT_Turnover*beta.DF
49,Lungs.EffT_AR_LungsVasc -> null,E_Lungs*Lungs.EffT_AR_LungsVasc,Depletion of arrested Effector T cells in the Lungs vasculature,beta.DF -> null,E_Lungs*beta.DF,-Lungs.EffT_AR_LungsVasc  =  E_Lungs*Lungs.EffT_AR_LungsVasc,-beta.DF  =  E_Lungs*beta.DF
50,Lungs.EffT_f_LungsVasc + Lungs.Lung_Free_Sites -> Lungs.EffT_r_LungsVasc + Lungs.Lung_Free_Sites,kf_Lungs*Lung_Free_Sites*Lungs.EffT_f_LungsVasc/Vv_Lungs,Binding or free Effector T cells to the Lungs vasculature,beta.DV + beta.EF -> beta.DX + beta.EF,kf_Lungs*EF*beta.DV/Vv_Lungs,-Lungs.EffT_f_LungsVasc  = - Lungs.Lung_Free_Sites  =  Lungs.EffT_r_LungsVasc  =  Lungs.Lung_Free_Sites = kf_Lungs*Lung_Free_Sites*Lungs.EffT_f_LungsVasc/Vv_Lungs,-beta.DV  = - beta.EF  =  beta.DX  =  beta.EF = kf_Lungs*EF*beta.DV/Vv_Lungs
51,Lungs.EffT_f_LungsVasc -> [Blood-Lymph].Effector_TB,(QC_Lungs - LC_Lungs)*Lungs.EffT_f_LungsVasc/Vv_Lungs,Trafficking of free Effector T cells from Lungs to (arterial) Blood,beta.DV -> alpha.DZ,(QC_Lungs - LC_Lungs)*beta.DV/Vv_Lungs,-Lungs.EffT_f_LungsVasc  =  [Blood-Lymph].Effector_TB = (QC_Lungs - LC_Lungs)*Lungs.EffT_f_LungsVasc/Vv_Lungs,-beta.DV  =  alpha.DZ = (QC_Lungs - LC_Lungs)*beta.DV/Vv_Lungs
52,Lungs.EffT_f_LungsVasc -> null,EffT_Turnover*Lungs.EffT_f_LungsVasc,Turnover of free Effector T cells in the Lungs vasculature,beta.DV -> null,EffT_Turnover*beta.DV,-Lungs.EffT_f_LungsVasc  =  EffT_Turnover*Lungs.EffT_f_LungsVasc,-beta.DV  =  EffT_Turnover*beta.DV
53,Lungs.EffT_LungsEx -> Lymph_Node.EffT_LN_ExRec,LC_Lungs*Delta_Lungs*Lungs.EffT_LungsEx/Vext_Lungs,Trafficking of free Effector T cells from Lungs to lymph node extravascular space,beta.DO -> delta.DI,LC_Lungs*Delta_Lungs*beta.DO/Vext_Lungs,-Lungs.EffT_LungsEx  =  Lymph_Node.EffT_LN_ExRec = LC_Lungs*Delta_Lungs*Lungs.EffT_LungsEx/Vext_Lungs,-beta.DO  =  delta.DI = LC_Lungs*Delta_Lungs*beta.DO/Vext_Lungs
54,Lungs.EffT_LungsEx -> null,EffT_Turnover*Lungs.EffT_LungsEx,Turnover of Effector T cells in the Lungs extravascular space,beta.DO -> null,EffT_Turnover*beta.DO,-Lungs.EffT_LungsEx  =  EffT_Turnover*Lungs.EffT_LungsEx,-beta.DO  =  EffT_Turnover*beta.DO
55,Lungs.EffT_r_LungsVasc -> Lungs.EffT_AR_LungsVasc,AR_Lungs*Lungs.EffT_r_LungsVasc,Arrest of bound Effector T cells in the Lungs vasculature,beta.DX -> beta.DF,AR_Lungs*beta.DX,-Lungs.EffT_r_LungsVasc  =  Lungs.EffT_AR_LungsVasc = AR_Lungs*Lungs.EffT_r_LungsVasc,-beta.DX  =  beta.DF = AR_Lungs*beta.DX
56,Lungs.EffT_r_LungsVasc -> Lungs.EffT_f_LungsVasc,kr_Lungs*Lungs.EffT_r_LungsVasc,Detachment of bound Effector T cells in the Lungs vasculature,beta.DX -> beta.DV,kr_Lungs*beta.DX,-Lungs.EffT_r_LungsVasc  =  Lungs.EffT_f_LungsVasc = kr_Lungs*Lungs.EffT_r_LungsVasc,-beta.DX  =  beta.DV = kr_Lungs*beta.DX
57,Lungs.EffT_r_LungsVasc -> null,EffT_Turnover*Lungs.EffT_r_LungsVasc,Turnover of bound Effector T cells in the Lungs vasculature,beta.DX -> null,EffT_Turnover*beta.DX,-Lungs.EffT_r_LungsVasc  =  EffT_Turnover*Lungs.EffT_r_LungsVasc,-beta.DX  =  EffT_Turnover*beta.DX
58,Lungs.EffT_r_LungsVasc -> null,E_Lungs*Lungs.EffT_r_LungsVasc,Depletion of bound Effector T cells in the Lungs vasculature,beta.DX -> null,E_Lungs*beta.DX,-Lungs.EffT_r_LungsVasc  =  E_Lungs*Lungs.EffT_r_LungsVasc,-beta.DX  =  E_Lungs*beta.DX
59,Lymph_Node.[PNT-Tr_CD80] + Lymph_Node.[Tr-PNT_PDL1] <-> Lymph_Node.[TrPNT_PDL1-CD80],[kon_PDL1_CD80]*Lymph_Node.[PNT-Tr_CD80]*Lymph_Node.[Tr-PNT_PDL1]/[Vol_Cell-Rec_Tr-PNT] -[koff_PDL1_CD80]*Lymph_Node.[TrPNT_PDL1-CD80],Interaction at the immunological synapse between CD80 on Primed Naive T cells and PD-L1 on T Regulatory cells in the lymph node,delta.GM + delta.KY <-> delta.LJ,kon_PDL1_CD80*delta.GM*delta.KY/Vol_Cell-Rec_Tr-PNT -koff_PDL1_CD80*delta.LJ,-Lymph_Node.[PNT-Tr_CD80]  = - Lymph_Node.[Tr-PNT_PDL1]  =  Lymph_Node.[TrPNT_PDL1-CD80] = [kon_PDL1_CD80]*Lymph_Node.[PNT-Tr_CD80]*Lymph_Node.[Tr-PNT_PDL1]/[Vol_Cell-Rec_Tr-PNT] -[koff_PDL1_CD80]*Lymph_Node.[TrPNT_PDL1-CD80],-delta.GM  = - delta.KY  =  delta.LJ = kon_PDL1_CD80*delta.GM*delta.KY/Vol_Cell-Rec_Tr-PNT -koff_PDL1_CD80*delta.LJ
60,Lymph_Node.[PNT-Tr_CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[PNT-Tr_CD80]+[TrPNT_PDL1-CD80]),CD80 expression threshold on Primed Naive T cells for interaction with T Regulatory cells in the lymph node,delta.GM -> null,Exp_CD28/80/86/PD1/L1/L2*(delta.GM+LJ),-Lymph_Node.[PNT-Tr_CD80]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[PNT-Tr_CD80]+[TrPNT_PDL1-CD80]),-delta.GM  =  Exp_CD28/80/86/PD1/L1/L2*(delta.GM+LJ)
61,Lymph_Node.[PNT-Tr_PD1] + Lymph_Node.[Tr-PNT_PDL1] <-> Lymph_Node.[TrPNT_PDL1-PD1],[kon_PD1_PDL1]*Lymph_Node.[PNT-Tr_PD1]*Lymph_Node.[Tr-PNT_PDL1]/[Vol_Cell-Rec_Tr-PNT] -[koff_PD1_PDL1]*Lymph_Node.[TrPNT_PDL1-PD1],Interaction at the immunological synapse between PD-1 on Primed Naive T cells and PD-L1 on T Regulatory cells in the lymph node,delta.GN + delta.KY <-> delta.LK,kon_PD1_PDL1*delta.GN*delta.KY/Vol_Cell-Rec_Tr-PNT -koff_PD1_PDL1*delta.LK,-Lymph_Node.[PNT-Tr_PD1]  = - Lymph_Node.[Tr-PNT_PDL1]  =  Lymph_Node.[TrPNT_PDL1-PD1] = [kon_PD1_PDL1]*Lymph_Node.[PNT-Tr_PD1]*Lymph_Node.[Tr-PNT_PDL1]/[Vol_Cell-Rec_Tr-PNT] -[koff_PD1_PDL1]*Lymph_Node.[TrPNT_PDL1-PD1],-delta.GN  = - delta.KY  =  delta.LK = kon_PD1_PDL1*delta.GN*delta.KY/Vol_Cell-Rec_Tr-PNT -koff_PD1_PDL1*delta.LK
62,Lymph_Node.[PNT-Tr_PD1] + Lymph_Node.PD1_mab <-> Lymph_Node.PNTTr_PD1_aPD1,[kon_PD1-PD1mAb]*Lymph_Node.[PNT-Tr_PD1]*Lymph_Node.PD1_mab/Vtdln - [koff_PD1-PD1mAb]*Lymph_Node.PNTTr_PD1_aPD1,Interaction at the immunological synapse between PD-1 on Primed Naive T cells and Anti-PD-1 mAb in the lymph node,delta.GN + delta.FD <-> delta.GR,kon_PD1-PD1mAb*delta.GN*delta.FD/Vtdln - koff_PD1-PD1mAb*delta.GR,-Lymph_Node.[PNT-Tr_PD1]  = - Lymph_Node.PD1_mab  =  Lymph_Node.PNTTr_PD1_aPD1 = [kon_PD1-PD1mAb]*Lymph_Node.[PNT-Tr_PD1]*Lymph_Node.PD1_mab/Vtdln - [koff_PD1-PD1mAb]*Lymph_Node.PNTTr_PD1_aPD1,-delta.GN  = - delta.FD  =  delta.GR = kon_PD1-PD1mAb*delta.GN*delta.FD/Vtdln - koff_PD1-PD1mAb*delta.GR
63,Lymph_Node.[PNT-Tr_PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[PNT-Tr_PD1]+PNTTr_PD1_aPD1+[TrPNT_PDL1-PD1]),PD-1 expression threshold on Primed Naive T cells for interaction with T Regulatory cells in the lymph node,delta.GN -> null,Exp_CD28/80/86/PD1/L1/L2*(delta.GN+GR+LK),-Lymph_Node.[PNT-Tr_PD1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[PNT-Tr_PD1]+PNTTr_PD1_aPD1+[TrPNT_PDL1-PD1]),-delta.GN  =  Exp_CD28/80/86/PD1/L1/L2*(delta.GN+GR+LK)
64,Lymph_Node.[PNT-Tr_PDL1] + Lymph_Node.PDL1_mab <-> Lymph_Node.PNTTr_PDL1_aPDL1,[kon_PDL1-PDL1mAb]*Lymph_Node.[PNT-Tr_PDL1]*Lymph_Node.PDL1_mab/Vtdln - [koff_PDL1-PDL1mAb]*Lymph_Node.PNTTr_PDL1_aPDL1,Interaction at the immunological synapse between PD-L1 on Primed Naive T cells and Anti-PD-L1 mAb in the lymph node,delta.GO + delta.GB <-> delta.GS,kon_PDL1-PDL1mAb*delta.GO*delta.GB/Vtdln - koff_PDL1-PDL1mAb*delta.GS,-Lymph_Node.[PNT-Tr_PDL1]  = - Lymph_Node.PDL1_mab  =  Lymph_Node.PNTTr_PDL1_aPDL1 = [kon_PDL1-PDL1mAb]*Lymph_Node.[PNT-Tr_PDL1]*Lymph_Node.PDL1_mab/Vtdln - [koff_PDL1-PDL1mAb]*Lymph_Node.PNTTr_PDL1_aPDL1,-delta.GO  = - delta.GB  =  delta.GS = kon_PDL1-PDL1mAb*delta.GO*delta.GB/Vtdln - koff_PDL1-PDL1mAb*delta.GS
65,Lymph_Node.[PNT-Tr_PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[PNT-Tr_PDL1]+PNTTr_PDL1_aPDL1+[TrPNT_PD1-L1]),PD-L1 expression threshold on Primed Naive T cells for interaction with T Regulatory cells in the lymph node,delta.GO -> null,Exp_CD28/80/86/PD1/L1/L2*(delta.GO+GS+LH),-Lymph_Node.[PNT-Tr_PDL1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[PNT-Tr_PDL1]+PNTTr_PDL1_aPDL1+[TrPNT_PD1-L1]),-delta.GO  =  Exp_CD28/80/86/PD1/L1/L2*(delta.GO+GS+LH)
66,Lymph_Node.[TregLN-NT] + Lymph_Node.Naive_T -> null,[Treg:T_IntTime]*Lymph_Node.[TregLN-NT],Inactivation of Naïve T cells by T Regulatory cells in the lymph node,delta.LM-NT + delta.EO -> null,Treg:T_IntTime*delta.LM-NT,-Lymph_Node.[TregLN-NT]  = - Lymph_Node.Naive_T  =  [Treg:T_IntTime]*Lymph_Node.[TregLN-NT],-delta.LM-NT  = - delta.EO  =  Treg:T_IntTime*delta.LM-NT
67,Lymph_Node.[TregLN-NT] -> null,[Treg:T_IntTime]*Lymph_Node.[TregLN-NT],Dissociation of T Regulatory cells from Naïve T cells in the lymph node without inactivation of the latter,delta.LM-NT -> null,Treg:T_IntTime*delta.LM-NT,-Lymph_Node.[TregLN-NT]  =  [Treg:T_IntTime]*Lymph_Node.[TregLN-NT],-delta.LM-NT  =  Treg:T_IntTime*delta.LM-NT
68,Lymph_Node.[TregLN-PNT] + Lymph_Node.Primed_Naive_T -> null,[Treg:T_IntTime]*Lymph_Node.[TregLN-PNT]*[Sig_TrPNT=PD1/L1/CD80],Inactivation of Primed Naïve T cells by T Regulatory cells in the lymph node,delta.LM-PNT + delta.HH -> null,Treg:T_IntTime*delta.LM-PNT*Sig_TrPNT=PD1/L1/CD80,-Lymph_Node.[TregLN-PNT]  = - Lymph_Node.Primed_Naive_T  =  [Treg:T_IntTime]*Lymph_Node.[TregLN-PNT]*[Sig_TrPNT=PD1/L1/CD80],-delta.LM-PNT  = - delta.HH  =  Treg:T_IntTime*delta.LM-PNT*Sig_TrPNT=PD1/L1/CD80
69,Lymph_Node.[TregLN-PNT] -> null,[Treg:T_IntTime]*Lymph_Node.[TregLN-PNT]*(1-[Sig_TrPNT=PD1/L1/CD80]),Dissociation of T Regulatory cells from Primed Naïve T cells in the lymph node without inactivation of the latter,delta.LM-PNT -> null,Treg:T_IntTime*delta.LM-PNT*(1-Sig_TrPNT=PD1/L1/CD80),-Lymph_Node.[TregLN-PNT]  =  [Treg:T_IntTime]*Lymph_Node.[TregLN-PNT]*(1-[Sig_TrPNT=PD1/L1/CD80]),-delta.LM-PNT  =  Treg:T_IntTime*delta.LM-PNT*(1-Sig_TrPNT=PD1/L1/CD80)
70,Lymph_Node.[TregLN-PNT1] -> Lymph_Node.[PNT-Tr_CD80] + Lymph_Node.[TregLN-PNT1],[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.[TregLN-PNT1]*(([%CD80_receptor_level_PNT]*[CD80_receptors-per-Tcell])/[Avagadro's_Num])*(1/Tr_per_T_cell),CD80 expression by Primed Naive T cells for interaction with T Regulatory cells in the lymph node,delta.LM-PNT1 -> delta.GM + delta.LM-PNT1,Exp_CD28/80/86/PD1/L1/L2*delta.LM-PNT1*((%CD80_receptor_level_PNT*CD80_receptors-per-Tcell)/Avagadro's_Num)*(1/Tr_per_T_cell),-Lymph_Node.[TregLN-PNT1]  =  Lymph_Node.[PNT-Tr_CD80]  =  Lymph_Node.[TregLN-PNT1] = [Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.[TregLN-PNT1]*(([%CD80_receptor_level_PNT]*[CD80_receptors-per-Tcell])/[Avagadro's_Num])*(1/Tr_per_T_cell),-delta.LM-PNT1  =  delta.GM  =  delta.LM-PNT1 = Exp_CD28/80/86/PD1/L1/L2*delta.LM-PNT1*((%CD80_receptor_level_PNT*CD80_receptors-per-Tcell)/Avagadro's_Num)*(1/Tr_per_T_cell)
71,Lymph_Node.[TregLN-PNT1] -> Lymph_Node.[PNT-Tr_PD1] + Lymph_Node.[TregLN-PNT1],[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.[TregLN-PNT1]*(([%PD1_receptor_level_PNT]*[PD1_receptors-per-Tcell])/[Avagadro's_Num])*(1/Tr_per_T_cell),PD-1 expression by Primed Naive T cells for interaction with T Regulatory cells in the lymph node,delta.LM-PNT1 -> delta.GN + delta.LM-PNT1,Exp_CD28/80/86/PD1/L1/L2*delta.LM-PNT1*((%PD1_receptor_level_PNT*PD1_receptors-per-Tcell)/Avagadro's_Num)*(1/Tr_per_T_cell),-Lymph_Node.[TregLN-PNT1]  =  Lymph_Node.[PNT-Tr_PD1]  =  Lymph_Node.[TregLN-PNT1] = [Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.[TregLN-PNT1]*(([%PD1_receptor_level_PNT]*[PD1_receptors-per-Tcell])/[Avagadro's_Num])*(1/Tr_per_T_cell),-delta.LM-PNT1  =  delta.GN  =  delta.LM-PNT1 = Exp_CD28/80/86/PD1/L1/L2*delta.LM-PNT1*((%PD1_receptor_level_PNT*PD1_receptors-per-Tcell)/Avagadro's_Num)*(1/Tr_per_T_cell)
72,Lymph_Node.[TregLN-PNT1] -> Lymph_Node.[PNT-Tr_PDL1] + Lymph_Node.[TregLN-PNT1],[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.[TregLN-PNT1]*(([%PDL1_receptor_level_PNT]*[PDL1_receptors-per-Tcell])/[Avagadro's_Num])*(1/Tr_per_T_cell),PD-L1 expression by Primed Naive T cells for interaction with T Regulatory cells in the lymph node,delta.LM-PNT1 -> delta.GO + delta.LM-PNT1,Exp_CD28/80/86/PD1/L1/L2*delta.LM-PNT1*((%PDL1_receptor_level_PNT*PDL1_receptors-per-Tcell)/Avagadro's_Num)*(1/Tr_per_T_cell),-Lymph_Node.[TregLN-PNT1]  =  Lymph_Node.[PNT-Tr_PDL1]  =  Lymph_Node.[TregLN-PNT1] = [Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.[TregLN-PNT1]*(([%PDL1_receptor_level_PNT]*[PDL1_receptors-per-Tcell])/[Avagadro's_Num])*(1/Tr_per_T_cell),-delta.LM-PNT1  =  delta.GO  =  delta.LM-PNT1 = Exp_CD28/80/86/PD1/L1/L2*delta.LM-PNT1*((%PDL1_receptor_level_PNT*PDL1_receptors-per-Tcell)/Avagadro's_Num)*(1/Tr_per_T_cell)
73,Lymph_Node.[TregLN-PNT1] -> Lymph_Node.[Tr-PNT_PD1] + Lymph_Node.[TregLN-PNT1],[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.[TregLN-PNT1]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*(1/T_per_Tr_cell),PD-1 expression by T Regulatory cells for interaction with Primed Naive T cells in the lymph node,delta.LM-PNT1 -> delta.KX + delta.LM-PNT1,Exp_CD28/80/86/PD1/L1/L2*delta.LM-PNT1*(PD1_receptors-per-Tcell/Avagadro's_Num)*(1/T_per_Tr_cell),-Lymph_Node.[TregLN-PNT1]  =  Lymph_Node.[Tr-PNT_PD1]  =  Lymph_Node.[TregLN-PNT1] = [Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.[TregLN-PNT1]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*(1/T_per_Tr_cell),-delta.LM-PNT1  =  delta.KX  =  delta.LM-PNT1 = Exp_CD28/80/86/PD1/L1/L2*delta.LM-PNT1*(PD1_receptors-per-Tcell/Avagadro's_Num)*(1/T_per_Tr_cell)
74,Lymph_Node.[TregLN-PNT1] -> Lymph_Node.[Tr-PNT_PDL1] + Lymph_Node.[TregLN-PNT1],[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.[TregLN-PNT1]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*(1/T_per_Tr_cell),PD-L1 expression by T Regulatory cells for interaction with Primed Naive T cells in the lymph node,delta.LM-PNT1 -> delta.KY + delta.LM-PNT1,Exp_CD28/80/86/PD1/L1/L2*delta.LM-PNT1*(PDL1_receptors-per-Tcell/Avagadro's_Num)*(1/T_per_Tr_cell),-Lymph_Node.[TregLN-PNT1]  =  Lymph_Node.[Tr-PNT_PDL1]  =  Lymph_Node.[TregLN-PNT1] = [Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.[TregLN-PNT1]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*(1/T_per_Tr_cell),-delta.LM-PNT1  =  delta.KY  =  delta.LM-PNT1 = Exp_CD28/80/86/PD1/L1/L2*delta.LM-PNT1*(PDL1_receptors-per-Tcell/Avagadro's_Num)*(1/T_per_Tr_cell)
75,Lymph_Node.[Tr-mAPC_CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[Tr-mAPC_CD80]+TrALN_CT_CD80),CD80 expression threshold on mAPCs for interaction with T Regulatory cells in the lymph node,delta.KZ -> null,Exp_CD28/80/86/PD1/L1/L2*(delta.KZ+LC),-Lymph_Node.[Tr-mAPC_CD80]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[Tr-mAPC_CD80]+TrALN_CT_CD80),-delta.KZ  =  Exp_CD28/80/86/PD1/L1/L2*(delta.KZ+LC)
76,Lymph_Node.[Tr-mAPC_CD86] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[Tr-mAPC_CD86]+TrALN_CT_CD86),CD86 expression threshold on mAPCs for interaction with T Regulatory cells in the lymph node,delta.LA -> null,Exp_CD28/80/86/PD1/L1/L2*(delta.LA+LD),-Lymph_Node.[Tr-mAPC_CD86]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.[Tr-mAPC_CD86]+TrALN_CT_CD86),-delta.LA  =  Exp_CD28/80/86/PD1/L1/L2*(delta.LA+LD)
77,Lymph_Node.[Tr-mAPC_CTLA4] + Lymph_Node.[Tr-mAPC_CD80] <-> Lymph_Node.TrALN_CT_CD80,[kon_CTLA4_CD80]*Lymph_Node.[Tr-mAPC_CD80]*Lymph_Node.[Tr-mAPC_CTLA4]/[Vol_Cell-Rec_Tr-mAPC] -[koff_CTLA4_CD80]*Lymph_Node.TrALN_CT_CD80,Interaction at the immunological synapse between CD80 on mAPCs and CTLA-4 on T Regulatory cells in the lymph node,delta.LB + delta.KZ <-> delta.LC,kon_CTLA4_CD80*delta.KZ*delta.LB/Vol_Cell-Rec_Tr-ML -koff_CTLA4_CD80*delta.LC,-Lymph_Node.[Tr-mAPC_CTLA4]  = - Lymph_Node.[Tr-mAPC_CD80]  =  Lymph_Node.TrALN_CT_CD80 = [kon_CTLA4_CD80]*Lymph_Node.[Tr-mAPC_CD80]*Lymph_Node.[Tr-mAPC_CTLA4]/[Vol_Cell-Rec_Tr-mAPC] -[koff_CTLA4_CD80]*Lymph_Node.TrALN_CT_CD80,-delta.LB  = - delta.KZ  =  delta.LC = kon_CTLA4_CD80*delta.KZ*delta.LB/Vol_Cell-Rec_Tr-ML -koff_CTLA4_CD80*delta.LC
78,Lymph_Node.[Tr-mAPC_CTLA4] + Lymph_Node.[Tr-mAPC_CD86] <-> Lymph_Node.TrALN_CT_CD86,[kon_CTLA4_CD86]*Lymph_Node.[Tr-mAPC_CD86]*Lymph_Node.[Tr-mAPC_CTLA4]/[Vol_Cell-Rec_Tr-mAPC]-[koff_CTLA4_CD86]*Lymph_Node.TrALN_CT_CD86,Interaction at the immunological synapse between CD86 on mAPCs and CTLA-4 on T Regulatory cells in the lymph node,delta.LB + delta.LA <-> delta.LD,kon_CTLA4_CD86*delta.LA*delta.LB/Vol_Cell-Rec_Tr-ML-koff_CTLA4_CD86*delta.LD,-Lymph_Node.[Tr-mAPC_CTLA4]  = - Lymph_Node.[Tr-mAPC_CD86]  =  Lymph_Node.TrALN_CT_CD86 = [kon_CTLA4_CD86]*Lymph_Node.[Tr-mAPC_CD86]*Lymph_Node.[Tr-mAPC_CTLA4]/[Vol_Cell-Rec_Tr-mAPC]-[koff_CTLA4_CD86]*Lymph_Node.TrALN_CT_CD86,-delta.LB  = - delta.LA  =  delta.LD = kon_CTLA4_CD86*delta.LA*delta.LB/Vol_Cell-Rec_Tr-ML-koff_CTLA4_CD86*delta.LD
79,Lymph_Node.[Tr-mAPC_CTLA4] + Lymph_Node.CTLA4_mab <-> Lymph_Node.TrALN_CT_aCT,kon_CTLA4mAb_CTLA4*Lymph_Node.[Tr-mAPC_CTLA4]*Lymph_Node.CTLA4_mab/Vtdln -koff_CTLA4mAb_CTLA4*Lymph_Node.TrALN_CT_aCT,Interaction at the immunological synapse between CTLA-4 on T Regulatory cells and Anti-CTLA-4 mAb in the lymph node,delta.LB + delta.CD <-> delta.LE,kon_CTLA4mAb_CTLA4*delta.LB*delta.CD/Vtdln -koff_CTLA4mAb_CTLA4*delta.LE,-Lymph_Node.[Tr-mAPC_CTLA4]  = - Lymph_Node.CTLA4_mab  =  Lymph_Node.TrALN_CT_aCT = kon_CTLA4mAb_CTLA4*Lymph_Node.[Tr-mAPC_CTLA4]*Lymph_Node.CTLA4_mab/Vtdln -koff_CTLA4mAb_CTLA4*Lymph_Node.TrALN_CT_aCT,-delta.LB  = - delta.CD  =  delta.LE = kon_CTLA4mAb_CTLA4*delta.LB*delta.CD/Vtdln -koff_CTLA4mAb_CTLA4*delta.LE
80,Lymph_Node.[Tr-mAPC_CTLA4] -> null,[Exp_CTLA4]*(Lymph_Node.[Tr-mAPC_CTLA4]+[TrALN_CT_aCT]+[TrALN_CT_CD80]+[TrALN_CT_CD86]),CTLA-4 expression threshold on T Regulatory cells for interaction with mAPCs in the lymph node,delta.LB -> null,Exp_CTLA4*(delta.LB+LE+LC+LD),-Lymph_Node.[Tr-mAPC_CTLA4]  =  [Exp_CTLA4]*(Lymph_Node.[Tr-mAPC_CTLA4]+[TrALN_CT_aCT]+[TrALN_CT_CD80]+[TrALN_CT_CD86]),-delta.LB  =  Exp_CTLA4*(delta.LB+LE+LC+LD)
